epoch,accuracy,learning_rate,loss,macro_f1_score,val_accuracy,val_loss,val_macro_f1_score
0,0.4500803053379059,9.999999747378752e-05,1.6091128587722778,0.3717125356197357,0.5733404755592346,1.0239620208740234,0.48087838292121887
1,0.5318522453308105,9.999999747378752e-05,1.2929283380508423,0.4443173408508301,0.6316916346549988,0.896287739276886,0.5368882417678833
2,0.5800321102142334,9.999999747378752e-05,1.096848487854004,0.491028368473053,0.6514989137649536,0.8619754910469055,0.5578611493110657
3,0.6013115644454956,9.999999747378752e-05,1.0372365713119507,0.5104284286499023,0.6889721751213074,0.7931774258613586,0.5956946015357971
4,0.6176391839981079,9.999999747378752e-05,0.9858492016792297,0.5247179269790649,0.693254828453064,0.7543140649795532,0.5933088064193726
5,0.6436027884483337,9.999999747378752e-05,0.9233093857765198,0.5519055128097534,0.6766595244407654,0.7700278759002686,0.5812803506851196
6,0.6612687110900879,9.999999747378752e-05,0.8795062303543091,0.5720592737197876,0.7082440853118896,0.7192443609237671,0.6120582818984985
7,0.6691648960113525,9.999999747378752e-05,0.8437740206718445,0.5786697864532471,0.7119914293289185,0.6847325563430786,0.6104793548583984
8,0.6794700026512146,9.999999747378752e-05,0.8355764746665955,0.591132402420044,0.7350106835365295,0.6705704927444458,0.6351542472839355
9,0.694057822227478,9.999999747378752e-05,0.7733629941940308,0.6070992946624756,0.7435759902000427,0.6306183934211731,0.6424986124038696
10,0.6952623128890991,9.999999747378752e-05,0.7701470851898193,0.6080740690231323,0.7328693866729736,0.6402520537376404,0.6276333332061768
11,0.7070395946502686,9.999999747378752e-05,0.7403827905654907,0.6185685396194458,0.7205567359924316,0.657059907913208,0.6138132214546204
12,0.7139989137649536,9.999999747378752e-05,0.7365203499794006,0.6261842250823975,0.7489293217658997,0.623663604259491,0.6487910747528076
13,0.7280513644218445,9.999999747378752e-05,0.6992676854133606,0.6440871953964233,0.7526766657829285,0.6339854598045349,0.6554262042045593
14,0.7327355742454529,9.999999747378752e-05,0.6762645244598389,0.6496002674102783,0.766059935092926,0.5918939113616943,0.6697635650634766
15,0.7363490462303162,9.999999747378752e-05,0.6740611791610718,0.6523528099060059,0.7633832693099976,0.5931349992752075,0.6621440649032593
16,0.7463865280151367,9.999999747378752e-05,0.6407420635223389,0.6669309139251709,0.7724839448928833,0.5913957953453064,0.6760683655738831
17,0.7474571466445923,9.999999747378752e-05,0.6272560358047485,0.6663055419921875,0.7789078950881958,0.5761801600456238,0.678447961807251
18,0.7592344880104065,9.999999747378752e-05,0.6217777132987976,0.6783418655395508,0.7558886408805847,0.6002650260925293,0.6568626761436462
19,0.7635171413421631,9.999999747378752e-05,0.6089470982551575,0.6848675012588501,0.7740899324417114,0.5823094844818115,0.6807384490966797
20,0.7719486355781555,9.999999747378752e-05,0.5850154757499695,0.6941137909889221,0.7419700026512146,0.6344294548034668,0.6467665433883667
21,0.7636509537696838,9.999999747378752e-05,0.5850295424461365,0.68517005443573,0.7789078950881958,0.5904591083526611,0.6709802150726318
22,0.7743576169013977,9.999999747378752e-05,0.5778790712356567,0.6970442533493042,0.7821199297904968,0.5837889909744263,0.688296377658844
23,0.7755621075630188,9.999999747378752e-05,0.5577967762947083,0.6982716917991638,0.7965738773345947,0.54469895362854,0.6896002888679504
24,0.784528911113739,9.999999747378752e-05,0.5388962626457214,0.7099151611328125,0.8078158497810364,0.5271182060241699,0.7114803791046143
25,0.7929604053497314,9.999999747378752e-05,0.523171067237854,0.7229845523834229,0.7922912240028381,0.5570775866508484,0.6947218179702759
26,0.7953693866729736,9.999999747378752e-05,0.5326672196388245,0.723122239112854,0.8056744933128357,0.5359105467796326,0.7098923921585083
27,0.7960385680198669,9.999999747378752e-05,0.5038992762565613,0.728277325630188,0.7756959199905396,0.6051596403121948,0.6706572771072388
28,0.8017933368682861,9.999999747378752e-05,0.4879346787929535,0.7336844205856323,0.8003212213516235,0.5422608256340027,0.7026593685150146
29,0.8024625182151794,9.999999747378752e-05,0.49253568053245544,0.732394814491272,0.7965738773345947,0.551753580570221,0.6925108432769775
30,0.8095556497573853,9.999999747378752e-05,0.47554251551628113,0.7409125566482544,0.8222697973251343,0.5341540575027466,0.7309610843658447
31,0.8118308186531067,9.999999747378752e-05,0.46896687150001526,0.7490978240966797,0.7987151741981506,0.5570706129074097,0.7057058811187744
32,0.8194593191146851,9.999999747378752e-05,0.4446735978126526,0.7546263933181763,0.8131691813468933,0.5451842546463013,0.7174462676048279
33,0.8270878195762634,9.999999747378752e-05,0.43825116753578186,0.7637389898300171,0.8163811564445496,0.5416834354400635,0.7253336906433105
34,0.8214668035507202,9.999999747378752e-05,0.4497790038585663,0.7560609579086304,0.8147751688957214,0.52936190366745,0.7224793434143066
35,0.8217344880104065,9.999999747378752e-05,0.4378191828727722,0.7574189305305481,0.8174518346786499,0.5028336048126221,0.7161208987236023
36,0.8292291164398193,9.999999747378752e-05,0.4207385182380676,0.7675039172172546,0.8040685057640076,0.558790922164917,0.7159212827682495
37,0.8257494568824768,9.999999747378752e-05,0.42890191078186035,0.7619631290435791,0.8003212213516235,0.5566745400428772,0.7021820545196533
38,0.8312366008758545,9.999999747378752e-05,0.40243616700172424,0.7728990316390991,0.8142397999763489,0.512997567653656,0.7229938507080078
39,0.8361884355545044,9.999999747378752e-05,0.4099501967430115,0.7748286724090576,0.8163811564445496,0.5106436014175415,0.7177824378013611
40,0.8383297920227051,9.999999747378752e-05,0.3784538507461548,0.7837814092636108,0.8260171413421631,0.5196812748908997,0.7220165133476257
41,0.8398019075393677,9.999999747378752e-05,0.38756781816482544,0.784002959728241,0.7885438799858093,0.5731254816055298,0.6927681565284729
42,0.8509100675582886,9.999999747378752e-05,0.36405739188194275,0.7969354391098022,0.8286938071250916,0.529216468334198,0.7280808687210083
43,0.8494378924369812,9.999999747378752e-05,0.36860498785972595,0.7932164669036865,0.8195931315422058,0.5521107316017151,0.7244014739990234
44,0.8511777520179749,9.999999747378752e-05,0.3513224124908447,0.8023748397827148,0.8319057822227478,0.5633728504180908,0.7341285347938538
45,0.8454229235649109,9.999999747378752e-05,0.3834855854511261,0.787428617477417,0.8233404755592346,0.5680283904075623,0.7241230010986328
46,0.8545235395431519,9.999999747378752e-05,0.3537312150001526,0.8014596700668335,0.824411153793335,0.5124006867408752,0.7384350299835205
47,0.8530513644218445,9.999999747378752e-05,0.34960976243019104,0.7982562780380249,0.8254817724227905,0.515052080154419,0.7315990924835205
48,0.8621520400047302,9.999999747378752e-05,0.3331805467605591,0.8102834820747375,0.8169164657592773,0.536370038986206,0.7169601321220398
49,0.8554604053497314,9.999999747378752e-05,0.3443323075771332,0.8034599423408508,0.835117757320404,0.5042415857315063,0.7418930530548096
50,0.8576017022132874,9.999999747378752e-05,0.3472294211387634,0.8058909177780151,0.8319057822227478,0.507272481918335,0.7354084253311157
51,0.859341561794281,9.999999747378752e-05,0.325772225856781,0.8075461387634277,0.8276231288909912,0.5025857090950012,0.7294833660125732
52,0.8696466684341431,9.999999747378752e-05,0.32534024119377136,0.8190632462501526,0.8361884355545044,0.5181317329406738,0.7450941801071167
53,0.8649625182151794,9.999999747378752e-05,0.3161218464374542,0.8165348768234253,0.8292291164398193,0.5112929344177246,0.7300697565078735
54,0.8723233342170715,9.999999747378752e-05,0.3176058828830719,0.8195896148681641,0.8356531262397766,0.5117488503456116,0.7431560158729553
55,0.8676391839981079,9.999999747378752e-05,0.3098052740097046,0.8193808794021606,0.8415417671203613,0.5301995873451233,0.7395020723342896
56,0.8733940124511719,9.999999747378752e-05,0.3134171962738037,0.8252090215682983,0.8319057822227478,0.5422924757003784,0.7338138818740845
57,0.874598503112793,9.999999747378752e-05,0.29175594449043274,0.8270728588104248,0.824411153793335,0.5284914374351501,0.7252311706542969
58,0.8820931315422058,9.999999747378752e-05,0.2864244878292084,0.8378192782402039,0.824411153793335,0.5389189720153809,0.7324210405349731
59,0.8874464631080627,9.999999747378752e-05,0.27611619234085083,0.8448520302772522,0.8463597297668457,0.5400195121765137,0.7466429471969604
60,0.8762044906616211,9.999999747378752e-05,0.2980010211467743,0.8313192129135132,0.8431477546691895,0.5243541598320007,0.7520852088928223
61,0.8776766657829285,9.999999747378752e-05,0.2795950472354889,0.8356891870498657,0.8420770764350891,0.5384873747825623,0.7452224493026733
62,0.890658438205719,9.999999747378752e-05,0.26088452339172363,0.8487454652786255,0.8420770764350891,0.5263311862945557,0.753288745880127
63,0.8895878195762634,9.999999747378752e-05,0.2621863782405853,0.8466712236404419,0.8452890515327454,0.5149800777435303,0.7523132562637329
64,0.8814240097999573,9.999999747378752e-05,0.2780516743659973,0.8404347896575928,0.8265524506568909,0.5254220366477966,0.7318220138549805
65,0.8894539475440979,9.999999747378752e-05,0.26721829175949097,0.8458547592163086,0.8372591137886047,0.543641984462738,0.7488496899604797
66,0.8893201351165771,9.999999747378752e-05,0.2612903416156769,0.8462564945220947,0.8447537422180176,0.52901291847229,0.7540339231491089
67,0.8909261226654053,9.999999747378752e-05,0.27422845363616943,0.848288893699646,0.8431477546691895,0.5075510144233704,0.7570697069168091
68,0.8948072791099548,9.999999747378752e-05,0.2520069479942322,0.8545088171958923,0.8361884355545044,0.5405373573303223,0.7373824715614319
69,0.8960117697715759,9.999999747378752e-05,0.2521395683288574,0.8553000688552856,0.8361884355545044,0.541416585445404,0.7428973913192749
70,0.893067479133606,9.999999747378752e-05,0.2621423006057739,0.8530660271644592,0.8377944231033325,0.5058457255363464,0.7458375692367554
71,0.8913276195526123,9.999999747378752e-05,0.26233288645744324,0.8474143743515015,0.8410063982009888,0.5222691297531128,0.7513068914413452
72,0.9013651013374329,9.999999747378752e-05,0.24395665526390076,0.8639489412307739,0.8447537422180176,0.5374147891998291,0.7591526508331299
73,0.8977516293525696,9.999999747378752e-05,0.2441241592168808,0.85721755027771,0.8431477546691895,0.540435254573822,0.7537760734558105
74,0.9056477546691895,9.999999747378752e-05,0.22915546596050262,0.8704966306686401,0.8436830639839172,0.56820148229599,0.7531282901763916
75,0.9047109484672546,9.999999747378752e-05,0.22932974994182587,0.8707631826400757,0.8388651013374329,0.5983556509017944,0.7388426065444946
76,0.9053800702095032,9.999999747378752e-05,0.2304331511259079,0.866407573223114,0.8372591137886047,0.5435243844985962,0.7445807456970215
77,0.902971088886261,9.999999747378752e-05,0.22295448184013367,0.8675600290298462,0.8394004106521606,0.6390924453735352,0.7406947612762451
78,0.9081905484199524,9.999999747378752e-05,0.21816596388816833,0.871321976184845,0.8361884355545044,0.6390889286994934,0.73981773853302
79,0.9092612266540527,9.999999747378752e-05,0.22246795892715454,0.871452271938324,0.8377944231033325,0.6205832362174988,0.738264799118042
