epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7201440930366516,9.999999747378752e-05,0.6003275513648987,0.7815275192260742,0.47353795170783997
1,0.7546387910842896,9.999999747378752e-05,0.5245892405509949,0.7923820614814758,0.44772353768348694
2,0.7623865008354187,9.999999747378752e-05,0.49837496876716614,0.7969212532043457,0.4364789128303528
3,0.7707263827323914,9.999999747378752e-05,0.4836946725845337,0.8058022260665894,0.41978248953819275
4,0.7751677632331848,9.999999747378752e-05,0.47173187136650085,0.8042234182357788,0.419429212808609
5,0.7757599949836731,9.999999747378752e-05,0.47071975469589233,0.8073810935020447,0.41056835651397705
6,0.7780793309211731,9.999999747378752e-05,0.45960232615470886,0.8061969876289368,0.4135158360004425
7,0.7819778919219971,9.999999747378752e-05,0.45445558428764343,0.8061969876289368,0.41310498118400574
8,0.7830635905265808,9.999999747378752e-05,0.44826599955558777,0.8133017420768738,0.41016101837158203
9,0.785777747631073,9.999999747378752e-05,0.4433809220790863,0.8087626099586487,0.40804779529571533
10,0.7889853715896606,9.999999747378752e-05,0.4403657019138336,0.80817049741745,0.411342591047287
11,0.7906632423400879,9.999999747378752e-05,0.43542909622192383,0.8127096891403198,0.4059772789478302
12,0.7961902618408203,9.999999747378752e-05,0.4341306686401367,0.8107361197471619,0.41041070222854614
13,0.7944137454032898,9.999999747378752e-05,0.42818719148635864,0.8152753114700317,0.3986707627773285
14,0.7969304919242859,9.999999747378752e-05,0.42591798305511475,0.8131043910980225,0.40296778082847595
15,0.8004836440086365,9.999999747378752e-05,0.4258318543434143,0.8101440668106079,0.4095160961151123
16,0.8056158423423767,9.999999747378752e-05,0.4169338643550873,0.8168541789054871,0.3993138372898102
17,0.8028029799461365,4.999999873689376e-05,0.4168948531150818,0.816064715385437,0.40112167596817017
18,0.8088728785514832,4.999999873689376e-05,0.4112190902233124,0.8164594173431396,0.3999563455581665
